"비경취업희망여부","비경취업가능성여부","기타활동사항_4주내비구직사유코드","기타활동사항_지난1년내구직활동유무","조사년월","연령5세단위코드","가중값","경제활동상태코드"
1,1,06,1,202008,04,0000679400,3
1,1,06,1,202008,04,0000702263,3
1,1,06,1,202008,04,0000829469,3
1,1,06,1,202008,04,0000885295,3
1,1,06,1,202008,04,0000895936,3
1,1,06,1,202008,04,0001451937,3
1,1,06,1,202008,04,0001479896,3
1,1,06,1,202008,04,0001479896,3
1,1,06,1,202008,04,0001479896,3
1,1,06,1,202008,04,0001615933,3
1,1,06,1,202008,04,0001804579,3
1,1,06,1,202008,05,0000078732,3
1,1,06,1,202008,05,0000489204,3
1,1,06,1,202008,05,0000577949,3
1,1,06,1,202008,05,0000648928,3
1,1,06,1,202008,05,0000710040,3
1,1,06,1,202008,05,0000730590,3
1,1,06,1,202008,05,0000745838,3
1,1,06,1,202008,05,0000794115,3
1,1,06,1,202008,05,0000828426,3
1,1,06,1,202008,05,0001022540,3
1,1,06,1,202008,05,0001374723,3
1,1,06,1,202008,06,0000357638,3
1,1,06,1,202008,06,0000403308,3
1,1,06,1,202008,06,0000539801,3
1,1,06,1,202008,06,0000577832,3
1,1,06,1,202008,06,0000577832,3
1,1,06,1,202008,06,0000604815,3
1,1,06,1,202008,06,0000661736,3
1,1,06,1,202008,06,0000661736,3
1,1,06,1,202008,06,0000668992,3
1,1,06,1,202008,06,0000795690,3
1,1,06,1,202008,06,0000795690,3
1,1,06,1,202008,06,0000994949,3
1,1,06,1,202008,06,0000994949,3
1,1,06,1,202008,06,0001244775,3
1,1,06,1,202008,06,0001627647,3
1,1,06,1,202008,06,0001627647,3
1,1,06,1,202008,06,0001627647,3
1,1,06,1,202008,07,0000290922,3
1,1,06,1,202008,07,0000407240,3
1,1,06,1,202008,07,0000444024,3
1,1,06,1,202008,07,0000471177,3
1,1,06,1,202008,07,0000473886,3
1,1,06,1,202008,07,0000503277,3
1,1,06,1,202008,07,0000516739,3
1,1,06,1,202008,07,0000525053,3
1,1,06,1,202008,07,0000525053,3
1,1,06,1,202008,07,0000550606,3
1,1,06,1,202008,07,0000576011,3
1,1,06,1,202008,07,0000688612,3
1,1,06,1,202008,07,0000688612,3
1,1,06,1,202008,07,0000721817,3
1,1,06,1,202008,07,0000721817,3
1,1,06,1,202008,07,0000721817,3
1,1,06,1,202008,07,0000721817,3
1,1,06,1,202008,07,0000791999,3
1,1,06,1,202008,07,0000792230,3
1,1,06,1,202008,07,0000809148,3
1,1,06,1,202008,07,0000809148,3
1,1,06,1,202008,07,0000829861,3
1,1,06,1,202008,07,0000880306,3
1,1,06,1,202008,07,0001151180,3
1,1,06,1,202008,07,0001151180,3
1,1,06,1,202008,07,0001151180,3
1,1,06,1,202008,07,0001262863,3
1,1,06,1,202008,07,0001396597,3
1,1,06,1,202008,07,0001396597,3
1,1,06,1,202008,07,0001561572,3
1,1,06,1,202008,07,0001576924,3
1,1,06,1,202008,08,0000356766,3
1,1,06,1,202008,08,0000356766,3
1,1,06,1,202008,08,0000370170,3
1,1,06,1,202008,08,0000386407,3
1,1,06,1,202008,08,0000423907,3
1,1,06,1,202008,08,0000423907,3
1,1,06,1,202008,08,0000469327,3
1,1,06,1,202008,08,0000469327,3
1,1,06,1,202008,08,0000471961,3
1,1,06,1,202008,08,0000472975,3
1,1,06,1,202008,08,0000537327,3
1,1,06,1,202008,08,0000537327,3
1,1,06,1,202008,08,0000537976,3
1,1,06,1,202008,08,0000553535,3
1,1,06,1,202008,08,0000736149,3
1,1,06,1,202008,08,0000774179,3
1,1,06,1,202008,08,0000774179,3
1,1,06,1,202008,08,0000786942,3
1,1,06,1,202008,08,0000859445,3
1,1,06,1,202008,08,0000859445,3
1,1,06,1,202008,08,0000865382,3
1,1,06,1,202008,08,0000878501,3
1,1,06,1,202008,08,0000983098,3
1,1,06,1,202008,08,0001091269,3
1,1,06,1,202008,08,0001351668,3
1,1,06,1,202008,08,0001351668,3
